OASIS SB Pool 3 Contract Numbers,POOL 3 OASIS Small Business (SB) Contractor Name and Address,POOL 3 Corporate OASIS SB Contract Manager (COCM),POOL 3 Corporate OASIS SB Program Manager (COPM),
,Addx Corporation, Lydia Theunissen, John Millward,
GS00Q14OADS301,"4900 Seminary Road, Suite 570", 571-451-0300, 571-451-0496,
,"Alexandria, VA  22311", ltheunissen@addxcorp.com, jmillward@addxcorp.com,
,"Advanced C4 Solutions, Inc.", Anthony Darveaux, Billy Hogan,
GS00Q14OADS302,4017 West Martin Luther King Blvd., 813-983-7463,  813-983-7445,
,"Tampa, FL 33614",  Anthony.darveaux@ac4s.com, william.hogan@ac4s.com,
,"Advanced Systems Technology and Management, Inc.", Jen Kim, Gary Bell,
GS00Q14OADS303,"8229 Boone Blvd., Suite 520", 703-821-0678, 240-538-8357,
,"Vienna, VA  22182", Jen.kim@adstm.com, Gary.bell@adstm.com,
,"Analytical Services and Materials, Inc.",  Dr. G. Balasubramanian, Dr. Jalaiah Unnam ,
GS00Q14OADS304,107 Research Drive, 757-865-7093 x 311, 757-865-7093 x 306,
,"Hampton, VA  23666", bala@asm-usa.com, junnam@asm-usa.com,
,"A-P-T Research, Inc.", Rebecca Merrill, Clark Kilgore,
GS00Q14OADS305,4950 Research Drive, 256-327-4015 , 256-327-3382,
,"Huntsville, AL  35805", rmerrill@apt-research.com, ckilgore@apt-research.com,
,Atlantic CommTech Corporation, Tina Ridgeway, Jim Biskaduros,
GS00Q14OADS307,2509 Walmer Avenue, 757-858-5303 x 204, 703-867-1364,
,"Norfolk, VA  23513", tridgeway@act-corp.com, jbiskaduros@act-corp.com,
,"Atlas Technologies, Inc.", Richard Hayes, John Jones,
GS00Q14OADS308,5416-A Rivers Avenue, 843-725-2270, 843-725-2274,
,"N. Charleston, SC  29406", Atlas-contracts@atlas-tech.com, jjones@atlas-tech.com,
,"Avion Solutions, Inc.", Kim Taylor, Jeff Blackmon,
GS00Q14OADS309,"4905 Research Drive, NW", 256-327-7133, 256-327-7152,
,"Huntsville, AL  35805", kim.taylor@avioninc.com, jeff.blackmon@avioninc.com,
,Bevilacqua Research Corporation, Steve Cook, Andy Bevilacqua,
GS00Q14OADS310,"4901 Corporation Drive, Suite B", 256-882-6229 x 111,  256-882-6229 x 102,
,"Huntsville, AL  35805", stevec@brc2.com, andyb@brc2.com,
,Caelum Research Corporation,  Daniel Nielsen, James Bauer,
GS00Q14OADS312,"30 West Gude Drive, Suite 200", 301-424-8205 x 311, 301-424-8025 x 315,
,"Rockville, MD  20850", OASIS-SB@caelum.com, OASIS-SB@caelum.com,
,"Client Solution Architects, LLC",  Kim Knudson,  David Hickey,
GS00Q14OADS313,52 Gettysburg Pike, 717-756-3598, 703-582-5074,
,"Mechanicsburg, PA  17055",CSA-GSA-OASIS@csaassociates.com,CSA-GSA-OASIS@csaassociates.com,
,"Credence Management Solutions, LLC", Siddharta (Sid) Chowdhary, Prashant Gaur,
GS00Q14OADS315,"2201 Cooperative Way, Suite 600", 703-819-6876, 703-819-4158,
,"Herndon, VA  20171", Oasis@credence-llc.com, Oasis@credence-llc.com,
,"DDL OMNI Engineering, LLC", Theodore (Ted) J. Thanos, Robert (Bob) W. Fritz,
GS00Q14OADS316,"8260 Greensboro Drive, Suite 600", 703 918-4336, 703 918-4323,
,"McLean, VA  22102", Ted.thanos@ddlomni.com, Bob.Fritz@ddlomni.com,
,"DRT Strategies, Inc.", Geoffrey McDermott, Michael Duffy,
GS00Q14OADS317,"4245 N. Fairfax Drive, Suite 800", 571-482-2502, 571-482-2510,
,"Arlington, VA  22203", gmcdermott@drtstrategies.com, mduffy@drtstrategies.com,
,"Forward Slope, Inc.",  Waddy Stephenson, Richard Haas,
GS00Q14OADS318,"2020 Camino Del Rio North, Suite 400",  619-780-0157, 619-780-0171,
,"San Diego, CA  92108",  wstephenson@forwardslope.com, rhaas@forwardslope.com,
,"Futron, Inc.",June Adams,Shakil Qureshi,
GS00Q14OADS344,14073 Crown Court,571-402-3211,571-402-3202,
,"Woodbridge, VA  22193",jadams@futroninc.com,squreshi@futroninc.com,
,"Gemini Industries, Inc.", Sal Malgari, David DeNofrio,
GS00Q14OADS319,"200 Wheeler Road, Suite 4", 781-203-0100 x 104, 781-203-0100 x 120,
,"Burlington, MA  01803", OASIS@gemini-ind.com, OASIS@gemini-ind.com,
,"KeyLogic Systems, Inc.", Michele Smith, Jim Dieterle,
GS00Q14OADS320,3168 Collins Ferry Road, 443-539-9062, 703-429-4831,
,"Morgantown, WV  26505", msmith@keylogic.com, jdieterle@keylogic.com,
,"Ki Ho Military Acquisition Consulting, Inc.", Rebecca (Becky) D. Ridenour, Scot Merrihew,
GS00Q14OADS321,5085 Twin Brook Drive, 937-429-7744 x 111, 801-593-5400 x 121,
,"Fairfax, VA  22032", becky.ridenour@kihomac.com, scot.merrihew@kihomac.com.,
,"KT Consulting, Inc.", Kevin Terrell, Kevin Terrell,
GS00Q14OADS322,"8585 E. Hartford Drive, Suite 118", 480-538-2668, 480-538-2668,
,"Scottsdale, AZ  85255", kterrell@ktc-ops.com, kterrell@ktc-ops.com,
,"Leader Communications, Inc.", Vicky Hilton, Diana Petross,
GS00Q14OADS323,"6421 S. Air Depot, Suite A", 405-622-2200, 405-622-2200 x 106,
,"Oklahoma City, OK  73135", contract.administration@lcibest.com,  OASISPMO@lcibest.com ,
GS00Q14OADS324,"Management and Engineering Technologies, Inc.", Michelle Rosalez, Ernest Osborn,
,8600 Boeing Drive, 915-772-4975, 937-256-9464,
,"El Paso, TX  79925", contracts@meticorp.com, bd@meticorp.com,
,NikSoft Systems Corporation, Jon Cassady, David Gardner,
GS00Q14OADS326,"1984 Isaac Newton Square West, Suite 306A", 703-435-2260 x 203, 703-435-2260 x 206,
,"Reston, VA  20190", oasis@niksoft.com, oasis@niksoft.com,
,"ORBIS Sibro, Inc", Karl P. Farber, Charles Grabenstein,
GS00Q14OADS343,"268 West Coleman Blvd., Suite 2A", 843-971-9390 x 226, 202-548-3110 x 346,
,"Mt. Pleasant, SC  29464",kfarber1@orbisinc.net, charliegrabenstein@orbisinc.net,
,"PCCI, Inc.",Bob Urban,Thomas Hudon,
GS00Q14OADS327,"300 North Lee Street, Suite 201",703-229-1102,703-229-1110,
,"Alexandria, VA  22314",burban@pccii.com,thudon@pccii.com,
,Peerless Technologies Corporation,Chrissy Hardin, Julie Jones,
GS00Q14OADS328,2300 National Road, 937-490-5006, 937-490-5012,
,"Fairborn, OH  45324",OASIS-Contracts@epeerless.com,OASIS-Contracts@epeerless.com,
,"QuantiTech, Inc.", Elaine D. Jones, James (Jim) A. Roy,
GS00Q14OADS329,"7027 Old Madison Pike, Suite 106", 256-799-0669, 256-714-1111,
,"Huntsville, AL  35806",OASISSB@quantitech.com,OASISSB@quantitech.com,
,"Sawdey Solution Services, Inc.", Connie Sawdey, Beth Czanik,
GS00Q14OADS331,"1430 Oak Court, Suite 304", 937-490-4060, 937-490-4060,
,"Beavercreek, OH  45430", csawdey@sawdeysolutionservices.com, bczanik@sawdeysolutionservices.com ,
,Skylla Engineering Ltd., Eduardo (Ed) Cardenas, Charles (Chuck) Muizers,
GS00Q14OADS332,316 Main Street, 281-787-7643, 832-474-0026,
,"Humble, TX  77338", cardenase@skyllaeng.com, muizersc@skyllaeng.com,
,"Southeastern Computer Consultants, Inc.", Shellie Bowles, Kent Ek,
GS00Q14OADS333,"3 Hillcrest Drive, Suite A-201", 301-695-5311, 512-600-9437,
,"Frederick, MD  21703", sbowles@teamscci.com, kek@teamscci.com,
,"Subsystem Technologies, Inc.", Steven H. Willenbucher, Steven H. Willenbucher,
GS00Q14OADS334,"2121 Crystal Drive, Suite 680", 703-504-9794, 703-504-9794,
,"Arlington, VA  22202", swillenbucher@subsystem.com, swillenbucher@subsystem.com,
,"Sumaria Systems, Inc.", Franklin (Frank) H. Inman, Donald Kurtz,
GS00Q14OADS335,99 Rosewood Drive, 978-739-4200 x 1117, 937-429-6070 x 106,
,"Danvers, MA  01923",OASIS-SB@sumaria.com,OASIS-SB@sumaria.com,
,"Support Systems Associates, Inc.", John B. Hamilton, Mike Reynolds,
GS00Q14OADS336,"709 S. Harbor City Blvd., Suite 350", 321-724-5566 x 1297, 478-922-9987,
,"Melbourne, FL  32901", jhamilton@ssai.org,mreynolds@ssai.org,
,"Synectic Solutions, Inc.", Earnie Leonard, Mark Cardenas,
GS00Q14OADS337,"1701 Pacific Ave., Suite 260", 805-483-4800 x 101, 858-472-4752,
,"Oxnard, CA  93033", eleonard@synecsolu.com, mcardenas@synecsolu.com,
,"Triumph Enterprises, Inc.", Lucy R. Aguinaldo, R. Lee Plumb,
GS00Q14OADS339,"11325 Random Hills Road, Suite 340", 703-563-4402, 703-563-4401,
,"Fairfax, VA  22030", Lucy.aguinaldo@triumph-enterprises.com, Lee.Plumb@Triumph-Enterprises.com,
,"Vector CSP, LLC", Jane Ann Hejmanowski, Bob Burnett,
GS00Q14OADS340,405 E. Main Street, 252-338-2264, 410-768-5494,
,"Elizabeth City, NC  27909", jahejmanowski@vectorcsp.com, Bob.burnett@vectorcsp.com,
,"X Technologies, Inc.", Kay Zdon, Dave Henderson,
GS00Q14OADS341,"100 Sandau Road, Suite 300", 210-822-8712 x 6013, 210-822-8712 x 6029,
,"San Antonio, TX  78216", kay.zdon@x-technologies.com, dave.henderson@x-technologies.com,
,"Zel Technologies, LLC", Susan Hughes, Chuck Mitchell,
GS00Q14OADS342,54 Old Hampton Lane, 757-325-1331, 757-325-1270,
,"Hampton, VA  23669",  susan.hughes@zeltech.com, chuck.mitchell@zeltech.com,
